% Date [YYYYMMDD];20230317;;;;;
% Experimenter;MS;;;;;
% Experiment;SleepLight;;;;;
% Condition;SineWaveBlue;;;;;
% Note;Stimulation of Light;;;;;
% ;;;;;;
% Sample rate [Hz];80;;achtzig werte prosekunde;;;
% MinValue;0;;;;;
% MaxValue;4095;;;;;
% NSamples;800;;;;;
% NRepeat;30;;;;;
%;;;;;;
Sample;Channel1;Channel2;Channel3;Channel4;Trigger;Note
213;4095;4095;0;0;1;
214;0;0;0;0;0;
215;4095;4095;0;0;1;
216;0;0;0;0;0;
217;4095;4095;0;0;1;
218;0;0;0;0;0;
219;4095;4095;0;0;1;
220;0;0;0;0;0;
221;4095;4095;0;0;1;
222;0;0;0;0;0;
223;4095;4095;0;0;1;
224;0;0;0;0;0;
225;4095;4095;0;0;1;
226;0;0;0;0;0;
227;4095;4095;0;0;1;
228;0;0;0;0;0;
229;4095;4095;0;0;1;
230;0;0;0;0;0;
231;4095;4095;0;0;1;
232;0;0;0;0;0;
233;4095;4095;0;0;1;
234;0;0;0;0;0;
235;4095;4095;0;0;1;
236;0;0;0;0;0;
237;4095;4095;0;0;1;
238;0;0;0;0;0;
239;4095;4095;0;0;1;
240;0;0;0;0;0;
241;4095;4095;0;0;1;
242;0;0;0;0;0;
243;4095;4095;0;0;1;
244;0;0;0;0;0;
245;4095;4095;0;0;1;
246;0;0;0;0;0;
247;4095;4095;0;0;1;
248;0;0;0;0;0;
249;4095;4095;0;0;1;
250;0;0;0;0;0;
251;4095;4095;0;0;1;
252;0;0;0;0;0;
253;4095;4095;0;0;1;
254;0;0;0;0;0;
255;4095;4095;0;0;1;
256;0;0;0;0;0;
257;4095;4095;0;0;1;
258;0;0;0;0;0;
259;4095;4095;0;0;1;
260;0;0;0;0;0;
261;4095;4095;0;0;1;
262;0;0;0;0;0;
263;4095;4095;0;0;1;
264;0;0;0;0;0;
265;4095;4095;0;0;1;
266;0;0;0;0;0;
267;4095;4095;0;0;1;
268;0;0;0;0;0;
269;4095;4095;0;0;1;
270;0;0;0;0;0;
271;4095;4095;0;0;1;
272;0;0;0;0;0;
273;4095;4095;0;0;1;
274;0;0;0;0;0;
275;4095;4095;0;0;1;
276;0;0;0;0;0;
277;4095;4095;0;0;1;
278;0;0;0;0;0;
279;4095;4095;0;0;1;
280;0;0;0;0;0;
281;4095;4095;0;0;1;
282;0;0;0;0;0;
283;4095;4095;0;0;1;
284;0;0;0;0;0;
285;4095;4095;0;0;1;
286;0;0;0;0;0;
287;4095;4095;0;0;1;
288;0;0;0;0;0;
289;4095;4095;0;0;1;
290;0;0;0;0;0;
291;4095;4095;0;0;1;
292;0;0;0;0;0;
293;4095;4095;0;0;1;
294;0;0;0;0;0;
295;4095;4095;0;0;1;
296;0;0;0;0;0;
297;4095;4095;0;0;1;
298;0;0;0;0;0;
299;4095;4095;0;0;1;
300;0;0;0;0;0;
301;4095;4095;0;0;1;
302;0;0;0;0;0;
303;4095;4095;0;0;1;
304;0;0;0;0;0;
305;4095;4095;0;0;1;
306;0;0;0;0;0;
307;4095;4095;0;0;1;
308;0;0;0;0;0;
309;4095;4095;0;0;1;
310;0;0;0;0;0;
311;4095;4095;0;0;1;
312;0;0;0;0;0;
313;4095;4095;0;0;1;
314;0;0;0;0;0;
315;4095;4095;0;0;1;
316;0;0;0;0;0;
317;4095;4095;0;0;1;
318;0;0;0;0;0;
319;4095;4095;0;0;1;
320;0;0;0;0;0;
321;4095;4095;0;0;1;
322;0;0;0;0;0;
323;4095;4095;0;0;1;
324;0;0;0;0;0;
325;4095;4095;0;0;1;
326;0;0;0;0;0;
327;4095;4095;0;0;1;
328;0;0;0;0;0;
329;4095;4095;0;0;1;
330;0;0;0;0;0;
331;4095;4095;0;0;1;
332;0;0;0;0;0;
333;4095;4095;0;0;1;
334;0;0;0;0;0;
335;4095;4095;0;0;1;
336;0;0;0;0;0;
337;4095;4095;0;0;1;
338;0;0;0;0;0;
339;4095;4095;0;0;1;
340;0;0;0;0;0;
341;4095;4095;0;0;1;
342;0;0;0;0;0;
343;4095;4095;0;0;1;
344;0;0;0;0;0;
345;4095;4095;0;0;1;
346;0;0;0;0;0;
347;4095;4095;0;0;1;
348;0;0;0;0;0;
349;4095;4095;0;0;1;
350;0;0;0;0;0;
351;4095;4095;0;0;1;
352;0;0;0;0;0;
353;4095;4095;0;0;1;
354;0;0;0;0;0;
355;4095;4095;0;0;1;
356;0;0;0;0;0;
357;4095;4095;0;0;1;
358;0;0;0;0;0;
359;4095;4095;0;0;1;
360;0;0;0;0;0;
361;4095;4095;0;0;1;
362;0;0;0;0;0;
363;4095;4095;0;0;1;
364;0;0;0;0;0;
365;4095;4095;0;0;1;
366;0;0;0;0;0;
367;4095;4095;0;0;1;
368;0;0;0;0;0;
369;4095;4095;0;0;1;
370;0;0;0;0;0;
371;4095;4095;0;0;1;
372;0;0;0;0;0;
373;4095;4095;0;0;1;
374;0;0;0;0;0;
375;4095;4095;0;0;1;
376;0;0;0;0;0;
377;4095;4095;0;0;1;
378;0;0;0;0;0;
379;4095;4095;0;0;1;
380;0;0;0;0;0;
381;4095;4095;0;0;1;
382;0;0;0;0;0;
383;4095;4095;0;0;1;
384;0;0;0;0;0;
385;4095;4095;0;0;1;
386;0;0;0;0;0;
387;4095;4095;0;0;1;
388;0;0;0;0;0;
389;4095;4095;0;0;1;
390;0;0;0;0;0;
391;4095;4095;0;0;1;
392;0;0;0;0;0;
393;4095;4095;0;0;1;
394;0;0;0;0;0;
395;4095;4095;0;0;1;
396;0;0;0;0;0;
397;4095;4095;0;0;1;
398;0;0;0;0;0;
399;4095;4095;0;0;1;
400;0;0;0;0;0;
401;4095;4095;0;0;1;
402;0;0;0;0;0;
403;4095;4095;0;0;1;
404;0;0;0;0;0;
405;4095;4095;0;0;1;
406;0;0;0;0;0;
407;4095;4095;0;0;1;
408;0;0;0;0;0;
409;4095;4095;0;0;1;
410;0;0;0;0;0;
411;4095;4095;0;0;1;
412;0;0;0;0;0;
413;4095;4095;0;0;1;
414;0;0;0;0;0;
415;4095;4095;0;0;1;
416;0;0;0;0;0;
417;4095;4095;0;0;1;
418;0;0;0;0;0;
419;4095;4095;0;0;1;
420;0;0;0;0;0;
421;4095;4095;0;0;1;
422;0;0;0;0;0;
423;4095;4095;0;0;1;
424;0;0;0;0;0;
425;4095;4095;0;0;1;
426;0;0;0;0;0;
427;4095;4095;0;0;1;
428;0;0;0;0;0;
429;4095;4095;0;0;1;
430;0;0;0;0;0;
431;4095;4095;0;0;1;
432;0;0;0;0;0;
433;4095;4095;0;0;1;
434;0;0;0;0;0;
435;4095;4095;0;0;1;
436;0;0;0;0;0;
437;4095;4095;0;0;1;
438;0;0;0;0;0;
439;4095;4095;0;0;1;
440;0;0;0;0;0;
441;4095;4095;0;0;1;
442;0;0;0;0;0;
443;4095;4095;0;0;1;
444;0;0;0;0;0;
445;4095;4095;0;0;1;
446;0;0;0;0;0;
447;4095;4095;0;0;1;
448;0;0;0;0;0;
449;4095;4095;0;0;1;
450;0;0;0;0;0;
451;4095;4095;0;0;1;
452;0;0;0;0;0;
453;4095;4095;0;0;1;
454;0;0;0;0;0;
455;4095;4095;0;0;1;
456;0;0;0;0;0;
457;4095;4095;0;0;1;
458;0;0;0;0;0;
459;4095;4095;0;0;1;
460;0;0;0;0;0;
461;4095;4095;0;0;1;
462;0;0;0;0;0;
463;4095;4095;0;0;1;
464;0;0;0;0;0;
465;4095;4095;0;0;1;
466;0;0;0;0;0;
467;4095;4095;0;0;1;
468;0;0;0;0;0;
469;4095;4095;0;0;1;
470;0;0;0;0;0;
471;4095;4095;0;0;1;
472;0;0;0;0;0;
473;4095;4095;0;0;1;
474;0;0;0;0;0;
475;4095;4095;0;0;1;
476;0;0;0;0;0;
477;4095;4095;0;0;1;
478;0;0;0;0;0;
479;4095;4095;0;0;1;
480;0;0;0;0;0;
481;4095;4095;0;0;1;
482;0;0;0;0;0;
483;4095;4095;0;0;1;
484;0;0;0;0;0;
485;4095;4095;0;0;1;
486;0;0;0;0;0;
487;4095;4095;0;0;1;
488;0;0;0;0;0;
489;4095;4095;0;0;1;
490;0;0;0;0;0;
491;4095;4095;0;0;1;
